"id","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","description"
"move-ms-hre-i-a","ms-hre-i-a","place-augsburg-context","repo-munich-bsb","ca. 1100","ca. 1100","probable","Research movement/context line for A: Augsburg -> Bayerische Staatsbibliothek, Munich."
"move-ms-hre-i-b","ms-hre-i-b","place-mainz-context","repo-vatican-bav","11th century","11th century","derived","Research movement/context line for B: Germany (Ottonian realm) -> Biblioteca Apostolica Vaticana."
"move-ms-hre-i-a2","ms-hre-i-a2","place-mainz-context","repo-pistoia-capitular","11th century","11th century","derived","Research movement/context line for A2: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Pistoia, Biblioteca Capitolare."
"move-ms-hre-i-a3","ms-hre-i-a3","place-mainz-context","repo-eichstaett","11th century","11th century","derived","Research movement/context line for A3: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Eichstätt, Pontifical of Gundekar."
"move-ms-hre-i-a4","ms-hre-i-a4","place-mainz-context","repo-wolfenbuettel-hab","12th century","12th century","derived","Research movement/context line for A4: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Wolfenbüttel, HAB."
"move-ms-hre-i-a5","ms-hre-i-a5","place-mainz-context","repo-cambridge-corpus","11th century","11th century","derived","Research movement/context line for A5: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Cambridge, Corpus Christi College."
"move-ms-hre-i-a6","ms-hre-i-a6","place-mainz-context","repo-bamberg-staatsbibliothek","11th century","11th century","derived","Research movement/context line for A6: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Bamberg, Staatsbibliothek."
"move-ms-hre-i-a7","ms-hre-i-a7","place-mainz-context","repo-bamberg-staatsbibliothek","11th century","11th century","derived","Research movement/context line for A7: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Bamberg, Staatsbibliothek."
"move-ms-hre-i-a8","ms-hre-i-a8","place-mainz-context","repo-schaffhausen","11th century","11th century","derived","Research movement/context line for A8: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Schaffhausen, MS 94."
"move-ms-hre-i-a9","ms-hre-i-a9","place-mainz-context","repo-troyes-bm","11th century","11th century","derived","Research movement/context line for A9: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Troyes, Bibliothèque municipale."
